project,language,filename,blank,comment,code
netdata,C,.\clones\netdata\database\sqlite\sqlite3.c,15427,73001,147109
netdata,JavaScript,.\clones\netdata\web\gui\dashboard\dashboard.js,1564,1115,7661
netdata,CSS,.\clones\netdata\web\gui\dashboard\css\bootstrap-slate-flat-3.3.7.css,0,15,7086
netdata,CSS,.\clones\netdata\web\gui\dashboard\css\bootstrap-3.3.7.css,7,11,6742
netdata,JSON,.\clones\netdata\package-lock.json,0,0,6320
netdata,JavaScript,.\clones\netdata\web\gui\dashboard_info.js,953,154,5302
netdata,JavaScript,.\clones\netdata\web\gui\main.js,800,258,4105
netdata,C,.\clones\netdata\collectors\cgroups.plugin\sys_fs_cgroup.c,736,241,3293
netdata,JavaScript,.\clones\netdata\web\gui\src\dashboard.js\main.js,757,403,3119
netdata,C,.\clones\netdata\collectors\apps.plugin\apps_plugin.c,807,437,2964
netdata,JavaScript,.\clones\netdata\collectors\node.d.plugin\node_modules\net-snmp.js,521,109,2822
netdata,C,.\clones\netdata\collectors\freebsd.plugin\freebsd_sysctl.c,489,122,2635
netdata,C,.\clones\netdata\collectors\ebpf.plugin\ebpf_socket.c,448,687,2273
netdata,JSON,.\clones\netdata\web\api\netdata-swagger.json,0,0,2125
netdata,C,.\clones\netdata\collectors\statsd.plugin\statsd.c,441,105,2022
netdata,C,.\clones\netdata\daemon\unit_test.c,341,83,1832
netdata,Bourne Shell,.\clones\netdata\packaging\installer\install-required-packages.sh,338,154,1758
netdata,C/C++ Header,.\clones\netdata\database\sqlite\sqlite3.h,329,10347,1677
netdata,YAML,.\clones\netdata\web\api\netdata-swagger.yaml,0,0,1657
netdata,C,.\clones\netdata\database\sqlite\sqlite_functions.c,347,48,1653
netdata,JavaScript,.\clones\netdata\web\gui\dashboard\lib\d3pie-0.2.1-netdata-3.js,276,242,1606
netdata,m4,.\clones\netdata\configure.ac,225,0,1582
netdata,C,.\clones\netdata\exporting\tests\test_exporting_engine.c,397,15,1568
netdata,C,.\clones\netdata\database\rrdset.c,360,160,1503
netdata,C,.\clones\netdata\web\server\web_client.c,351,177,1498
netdata,C,.\clones\netdata\collectors\freeipmi.plugin\freeipmi_plugin.c,263,111,1482
netdata,C,.\clones\netdata\collectors\proc.plugin\proc_diskstats.c,364,154,1480
netdata,Bourne Shell,.\clones\netdata\netdata-installer.sh,379,150,1413
netdata,C,.\clones\netdata\database\rrdhost.c,280,103,1341
netdata,C,.\clones\netdata\libnetdata\socket\socket.c,312,116,1305
netdata,HTML,.\clones\netdata\web\gui\dashboard\demosites.html,150,31,1288
netdata,HTML,.\clones\netdata\web\gui\old\index.html,37,8,1276
netdata,C,.\clones\netdata\collectors\macos.plugin\macos_sysctl.c,173,82,1271
netdata,C,.\clones\netdata\collectors\ebpf.plugin\ebpf.c,208,463,1237
netdata,C,.\clones\netdata\libnetdata\libnetdata.c,186,130,1207
netdata,Bourne Shell,.\clones\netdata\packaging\installer\kickstart.sh,183,55,1198
netdata,C,.\clones\netdata\collectors\ebpf.plugin\ebpf_vfs.c,215,196,1195
netdata,CMake,.\clones\netdata\CMakeLists.txt,204,192,1174
netdata,C,.\clones\netdata\web\api\queries\query.c,268,224,1169
netdata,make,.\clones\netdata\Makefile.am,122,6,1156
netdata,C,.\clones\netdata\collectors\proc.plugin\proc_net_snmp6.c,128,23,1142
netdata,C,.\clones\netdata\collectors\perf.plugin\perf_plugin.c,172,49,1131
netdata,C,.\clones\netdata\health\health_config.c,136,17,1108
netdata,C,.\clones\netdata\database\engine\rrdengine.c,153,87,1058
netdata,C,.\clones\netdata\web\api\web_api_v1.c,228,55,1044
netdata,C,.\clones\netdata\collectors\proc.plugin\proc_net_dev.c,260,54,1031
netdata,HTML,.\clones\netdata\web\gui\dashboard\demosites2.html,88,17,1007
netdata,C,.\clones\netdata\collectors\proc.plugin\proc_net_snmp.c,145,27,958
netdata,Python,.\clones\netdata\collectors\python.d.plugin\python_modules\pyyaml2\emitter.py,117,69,955
netdata,Python,.\clones\netdata\collectors\python.d.plugin\python_modules\pyyaml3\emitter.py,117,69,952
netdata,C,.\clones\netdata\web\api\badges\web_buffer_svg.c,150,42,948
netdata,C,.\clones\netdata\daemon\main.c,211,197,939
netdata,Markdown,.\clones\netdata\web\gui\confluence\README.md,85,0,934
netdata,C,.\clones\netdata\database\engine\pagecache.c,156,162,933
netdata,Python,.\clones\netdata\collectors\python.d.plugin\web_log\web_log.chart.py,122,142,930
netdata,C,.\clones\netdata\aclk\aclk.c,175,101,916
netdata,C/C++ Header,.\clones\netdata\database\rrd.h,308,174,899
netdata,Python,.\clones\netdata\collectors\python.d.plugin\python_modules\pyyaml2\scanner.py,222,346,890
netdata,C,.\clones\netdata\collectors\ebpf.plugin\ebpf_process.c,191,263,888
netdata,C,.\clones\netdata\libnetdata\eval\eval.c,219,84,887
netdata,Python,.\clones\netdata\collectors\python.d.plugin\python_modules\pyyaml3\scanner.py,222,346,881
netdata,HTML,.\clones\netdata\web\gui\dashboard\dash-example.html,140,0,880
netdata,C,.\clones\netdata\collectors\proc.plugin\proc_stat.c,188,32,849
