project,language,filename,blank,comment,code
redis,Bourne Shell,.\clones\redis\deps\jemalloc\configure,2205,926,10981
redis,C,.\clones\redis\src\redis-cli.c,607,727,7335
redis,HTML,.\clones\redis\deps\lua\doc\manual.html,2892,5,5907
redis,C,.\clones\redis\src\module.c,934,4555,5649
redis,C,.\clones\redis\src\server.c,736,1271,4787
redis,C,.\clones\redis\src\cluster.c,710,1831,4298
redis,C,.\clones\redis\src\commands.c,1569,1588,3914
redis,C,.\clones\redis\src\sentinel.c,618,1071,3645
redis,C,.\clones\redis\src\t_zset.c,551,747,3044
redis,C,.\clones\redis\deps\jemalloc\src\jemalloc.c,476,522,2933
redis,C,.\clones\redis\src\networking.c,439,1005,2749
redis,C,.\clones\redis\deps\jemalloc\src\ctl.c,380,310,2745
redis,C,.\clones\redis\src\rdb.c,340,577,2589
redis,C/C++ Header,.\clones\redis\src\server.h,248,665,2520
redis,C,.\clones\redis\src\quicklist.c,359,407,2473
redis,C,.\clones\redis\src\replication.c,423,1138,2464
redis,C,.\clones\redis\deps\jemalloc\src\prof.c,460,266,2434
redis,C,.\clones\redis\src\t_stream.c,360,995,2350
redis,C,.\clones\redis\src\config.c,374,380,2230
redis,m4,.\clones\redis\deps\jemalloc\configure.ac,170,149,2087
redis,C,.\clones\redis\src\acl.c,269,717,1951
redis,Tcl/Tk,.\clones\redis\tests\unit\type\zset.tcl,341,112,1949
redis,C/C++ Header,.\clones\redis\src\help.h,4,1,1844
redis,C,.\clones\redis\deps\jemalloc\src\extent.c,293,305,1805
redis,C,.\clones\redis\src\ziplist.c,291,586,1789
redis,C,.\clones\redis\deps\jemalloc\src\arena.c,301,236,1761
redis,C,.\clones\redis\src\redis-benchmark.c,129,140,1747
redis,C,.\clones\redis\src\debug.c,154,198,1743
redis,C,.\clones\redis\src\aof.c,309,507,1725
redis,C,.\clones\redis\src\listpack.c,262,433,1722
redis,Bourne Shell,.\clones\redis\deps\jemalloc\build-aux\config.sub,36,100,1689
redis,Tcl/Tk,.\clones\redis\tests\unit\type\list.tcl,247,74,1630
redis,C,.\clones\redis\deps\jemalloc\test\unit\SFMT.c,15,35,1549
redis,C,.\clones\redis\src\db.c,258,639,1369
redis,Bourne Shell,.\clones\redis\deps\jemalloc\build-aux\config.guess,42,185,1235
redis,C,.\clones\redis\src\object.c,173,271,1210
redis,C,.\clones\redis\src\eval.c,154,307,1188
redis,C,.\clones\redis\deps\jemalloc\src\stats.c,211,67,1179
